,Cluster Label,Zip Code,City,Community,Estimated Median Income,Longitude,Latitude,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size,Factor
10,4,90011,Los Angeles,Los Angeles (Southeast Los Angeles),40940,-118.25868,34.007063,103892,26.2,52794,51098,22168,4.67,4253338480
18,4,90019,Los Angeles,"Los Angeles (Arlington Heights, Country Club Park, Mid-City)",56389,-118.34015,34.048411,64458,35.8,31442,33016,23344,2.7,3634722162
21,4,90022,Los Angeles,East Los Angeles,46051,-118.15581,34.023662,67179,29.8,33216,33963,17023,3.94,3093660129
25,4,90026,Los Angeles,"Los Angeles (Echo Park, Silver Lake)",65269,-118.26596,34.07851,67869,34.0,34515,33354,24956,2.68,4429741761
42,4,90044,Los Angeles,"Athens, Los Angeles (South Los Angeles)",35981,-118.29158,33.953814,89779,28.6,43128,46651,25144,3.55,3230338199
69,4,90201,Bell,"Bell, Bell Gardens, Cudahy",44046,-118.17385,33.972814,101279,27.8,50658,50621,24104,4.16,4460934834
85,4,90250,Hawthorne,Hawthorne (Holly Park),56304,-118.35092,33.914614,93193,31.9,45113,48080,31087,2.98,5247138672
87,4,90255,Huntington Park,"Huntington Park, Walnut Park",44962,-118.21773,33.978404,75066,29.1,37525,37541,18419,4.06,3375117492
89,4,90262,Lynwood,Lynwood,52313,-118.20186,33.924642,69745,27.8,33919,35826,14669,4.57,3648570185
99,4,90280,South Gate,South Gate,52321,-118.1949,33.944264,94396,29.4,46321,48075,23278,4.05,4938893116
132,4,90650,Norwalk,Norwalk,70667,-118.08339,33.906914,105549,32.5,52364,53185,27130,3.83,7458831183
138,4,90706,Bellflower,Bellflower,60011,-118.1276,33.888165,76615,31.9,37203,39412,23650,3.21,4597742765
158,4,90805,Long Beach,Long Beach (North Long Beach),50914,-118.18362,33.865916,93524,29.0,45229,48295,26056,3.56,4761680936
211,4,91331,Pacoima,"Los Angeles (Arleta, Hansen Hills, Pacoima)",63807,-118.42406,34.254751,103689,29.5,52358,51331,22465,4.6,6616084023
212,4,91335,Reseda,Los Angeles (Reseda),63748,-118.54099,34.200104,74363,35.5,36596,37767,22855,3.21,4740492524
214,4,91342,Sylmar,"Los Angeles (Lake View Terrace, Sylmar), Kagel Canyon",74050,-118.42904,34.307877,91725,31.9,45786,45939,23543,3.83,6792236250
234,4,91402,Panorama City,Los Angeles (Panorama City),45796,-118.44322,34.223753,69817,30.1,35095,34722,18194,3.81,3197339332
254,4,91706,Baldwin Park,"Baldwin Park, Irwindale",65755,-117.96966,34.087108,76571,30.5,37969,38602,17504,4.35,5034926105
266,4,91744,La Puente,"City of Industry, La Puente, Valinda",71243,-117.93975,34.029561,85040,30.9,42564,42476,18648,4.55,6058504720
276,4,91766,Pomona,Pomona (Phillips Ranch),59819,-117.75305,34.045584,71599,28.7,36111,35488,17708,4.01,4282980581
308,4,93535,Lancaster,"Hi Vista, Lake Los Angeles, Lancaster, Roosevelt Corner, Wilsona Gardens",46600,-117.97756,34.691946,72046,28.3,34879,37167,20672,3.44,3357343600
312,4,93550,Palmdale,"Lake Los Angeles, Palmdale",45918,-118.08549,34.56548,74929,27.5,36414,38515,20864,3.58,3440589822
